iter	RMSE
0	311502.9977
1	276332.673
2	245394.6289
3	218198.6479
4	194299.3677
5	173378.2117
6	155074.0727
7	138967.1055
8	124942.7223
9	112702.0451
10	102146.8584
11	92751.1631
12	84840.02061
13	77789.72177
14	71874.45587
15	66611.19816
16	62173.87317
17	58574.52592
18	55431.42694
19	52833.49104
20	50463.63831
21	48615.81166
22	47048.40103
23	45801.18541
24	44564.72689
25	43636.51884
26	42886.65686
27	42265.34774
28	41667.18871
29	40921.39301
30	40523.27736
31	40053.41854
32	39588.84692
33	39258.52389
34	38946.16543
35	38732.28694
36	38509.79264
37	38260.92898
38	38117.04778
39	37897.8934
40	37687.23276
41	37563.91021
42	37461.86742
43	37359.94441
44	37200.6367
45	37096.03166
46	36962.9351
47	36849.94196
48	36710.64295
49	36513.44951
50	36414.54293
51	36290.51964
52	36131.1345
53	36066.45299
54	35986.19006
55	35880.70027
56	35810.19986
57	35735.47963
58	35663.58693
59	35615.11409
60	35531.05535
61	35452.70188
62	35379.65415
63	35333.56205
64	35214.48699
65	35151.68293
66	35090.73773
67	35042.08518
68	34958.72734
69	34864.47199
70	34787.12026
71	34700.34373
72	34638.07596
73	34588.32491
74	34553.06988
75	34468.64923
76	34356.92647
77	34278.02286
78	34167.28891
79	34125.31187
80	34101.28525
81	34035.43101
82	33993.61861
83	33958.56438
84	33901.47157
85	33854.11448
86	33818.19546
87	33791.9495
88	33731.06396
89	33690.33383
90	33648.26144
91	33621.84753
92	33580.83837
93	33531.24999
94	33468.53023
95	33439.03177
96	33403.8376
97	33365.14755
98	33314.04282
99	33252.20174
100	33203.35131
101	33165.44585
102	33146.64542
103	33105.7218
104	33078.68348
105	33041.81398
106	33008.64812
107	32960.82335
108	32913.08825
109	32879.65287
110	32846.28767
111	32825.25511
112	32783.78676
113	32753.62099
114	32726.58073
115	32708.67964
116	32676.03847
117	32649.43803
118	32632.23033
119	32615.37369
120	32578.43382
121	32549.13662
122	32518.85813
123	32485.44585
124	32453.89698
125	32435.43935
126	32408.86335
127	32386.10826
128	32371.0279
129	32344.62884
130	32315.44717
131	32270.8784
132	32240.21008
133	32216.13509
134	32205.12131
135	32180.72082
136	32163.87324
137	32145.05814
138	32132.84375
139	32115.70371
140	32089.07638
141	32059.7709
142	32042.16102
