,Unnamed: 0.1,date,range_numeric,floor_area_sqm,lease_commence_date,remaining_lease,resale_price,monthly_median_price,lag_1,lag_2,lag_3,rolling_mean_3,rolling_std_3
9,9,1992-09-01,0.0610264913104613,0.1157166018620131,1988,1.2557300008528811,190000.0,195000.0,195000.0,195000.0,195000.0,203133.33333333334,69240.5468878845
10,10,1992-09-01,-0.5587265906386362,-0.2192929493454087,1988,1.2557300008528811,200000.0,195000.0,195000.0,195000.0,195000.0,177133.33333333334,31347.301850930206
11,11,1992-09-01,-0.5587265906386362,-0.9730644395621078,1987,1.1481918408175542,140000.0,195000.0,195000.0,195000.0,195000.0,176666.66666666666,32145.50253664316
15,15,1992-10-01,0.0610264913104613,0.7857357042768568,1987,1.1481918408175542,253000.0,248000.0,248000.0,248000.0,248000.0,218666.66666666666,63846.16929255295
16,16,1992-10-01,-0.5587265906386362,0.1994689896638685,1987,1.1481918408175542,220500.0,248000.0,248000.0,248000.0,248000.0,243833.33333333334,20361.319538117652
17,17,1992-10-01,1.3005326552086565,0.1157166018620131,1988,1.2557300008528811,215000.0,248000.0,248000.0,248000.0,248000.0,229500.0,20536.55277791281
18,18,1992-10-01,-0.5587265906386362,0.283221377465724,1987,1.1481918408175542,288000.0,248000.0,248000.0,248000.0,248000.0,241166.66666666666,40651.97822164786
19,19,1992-10-01,0.0610264913104613,0.283221377465724,1987,1.1481918408175542,298000.0,248000.0,248000.0,248000.0,248000.0,267000.0,45310.04303683675
37,37,1993-05-01,0.0610264913104613,0.1994689896638685,1987,1.0406536807822275,238000.0,249000.0,249000.0,249000.0,249000.0,262666.6666666667,49812.983581927045
38,38,1993-05-01,-1.1784796725877336,0.1994689896638685,1987,1.0406536807822275,185000.0,249000.0,249000.0,249000.0,249000.0,217666.66666666666,28571.547618799654
39,39,1993-05-01,0.6807795732595588,-2.4806074199955064,1987,1.0406536807822275,230000.0,249000.0,249000.0,249000.0,249000.0,217666.66666666666,28571.547618799654
40,40,1993-05-01,0.0610264913104613,-0.1355405615435532,1987,1.0406536807822275,324000.0,249000.0,249000.0,249000.0,249000.0,246333.33333333334,70924.84285025478
