,Unnamed: 0.1,date,range_numeric,floor_area_sqm,lease_commence_date,remaining_lease,resale_price,monthly_median_price,lag_1,lag_2,lag_3,rolling_mean_3,rolling_std_3
124,124,1991-12-01,0.6807795732595588,-1.2861891389359132,1969,0.6053848631877212,8000.0,8000.0,8000.0,8000.0,8000.0,8800.0,1385.6406460551027
128,128,1992-01-01,0.0610264913104613,0.7184602031295791,1975,1.2669248788499794,7300.0,9500.0,9500.0,9500.0,9500.0,7533.333333333333,251.66114784236058
129,129,1992-01-01,-0.5587265906386362,0.7184602031295791,1975,1.2669248788499794,10000.0,9500.0,9500.0,9500.0,9500.0,8266.666666666666,1504.4378795195682
130,130,1992-01-01,-0.5587265906386362,0.7184602031295791,1975,1.2669248788499794,10500.0,9500.0,9500.0,9500.0,9500.0,9266.666666666666,1721.433511156715
131,131,1992-01-01,0.0610264913104613,-1.2861891389359132,1969,0.4730768600552696,12000.0,9500.0,9500.0,9500.0,9500.0,10833.333333333334,1040.8329997330677
132,132,1992-01-01,-1.1784796725877336,-1.2861891389359132,1969,0.4730768600552696,9500.0,9500.0,9500.0,9500.0,9500.0,10666.666666666666,1258.3057392117923
133,133,1992-01-01,-1.1784796725877336,-2.2885138099686597,1969,0.4730768600552696,10500.0,9500.0,9500.0,9500.0,9500.0,10666.666666666666,1258.3057392117923
137,137,1992-02-01,-0.5587265906386362,-1.2861891389359132,1969,0.4730768600552696,10400.0,10000.0,10000.0,10000.0,10000.0,9300.0,1571.6233645501713
138,138,1992-02-01,0.0610264913104613,-1.2861891389359132,1969,0.4730768600552696,10000.0,10000.0,10000.0,10000.0,10000.0,10133.333333333334,230.94010767585246
139,139,1992-02-01,-0.5587265906386362,-1.2861891389359132,1969,0.4730768600552696,9500.0,10000.0,10000.0,10000.0,10000.0,9966.666666666666,450.92497528229023
140,140,1992-02-01,-0.5587265906386362,0.7184602031295791,1975,1.2669248788499794,10000.0,10000.0,10000.0,10000.0,10000.0,9833.333333333334,288.67513459481364
150,150,1992-06-01,-0.5587265906386362,0.7184602031295791,1975,1.2669248788499794,8000.0,10000.0,10000.0,10000.0,10000.0,10333.333333333334,2516.6114784235833
154,154,1992-07-01,-0.5587265906386362,-1.2861891389359132,1969,0.4730768600552696,9000.0,9000.0,9000.0,9000.0,9000.0,8766.666666666666,1365.0396819628866
155,155,1992-07-01,-1.1784796725877336,0.7184602031295791,1975,1.2669248788499794,8000.0,9000.0,9000.0,9000.0,9000.0,8100.0,854.4003745317555
159,159,1992-08-01,0.0610264913104613,0.7184602031295791,1975,1.2669248788499794,7500.0,8500.0,8500.0,8500.0,8500.0,8500.0,1322.8756555322975
163,163,1992-09-01,-0.5587265906386362,-1.2861891389359132,1969,0.4730768600552696,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0
167,167,1992-10-01,-0.5587265906386362,-1.2861891389359132,1969,0.4730768600552696,10000.0,10000.0,10000.0,10000.0,10000.0,9166.666666666666,1443.3756729740646
168,168,1992-10-01,0.0610264913104613,-1.2861891389359132,1969,0.4730768600552696,11000.0,10000.0,10000.0,10000.0,10000.0,10333.333333333334,577.3502691896265
177,177,1993-01-01,-1.1784796725877336,-1.2861891389359132,1969,0.340768856922818,10000.0,10000.0,10000.0,10000.0,10000.0,11533.333333333334,2655.811238272277
181,181,1993-02-01,0.0610264913104613,-1.2861891389359132,1969,0.340768856922818,10000.0,10000.0,10000.0,10000.0,10000.0,10766.666666666666,1078.5793124908935
182,182,1993-02-01,0.0610264913104613,0.7184602031295791,1975,1.1346168757175277,10000.0,10000.0,10000.0,10000.0,10000.0,10100.0,173.2050807568716
192,192,1993-07-01,0.0610264913104613,-1.2861891389359132,1969,0.340768856922818,13500.0,19000.0,19000.0,19000.0,19000.0,19166.666666666668,5751.811308912465
193,193,1993-07-01,-0.5587265906386362,-1.2861891389359132,1969,0.340768856922818,16000.0,19000.0,19000.0,19000.0,19000.0,16166.666666666666,2753.785273643052
199,199,1993-09-01,0.6807795732595588,-1.2861891389359132,1969,0.340768856922818,13000.0,15750.0,15750.0,15750.0,15750.0,13500.0,4769.696007084732
203,203,1993-10-01,0.6807795732595588,-1.2861891389359132,1969,0.340768856922818,25500.0,24250.0,24250.0,24250.0,24250.0,25166.666666666668,3013.8568866708356
204,204,1993-10-01,-0.5587265906386362,-1.2861891389359132,1969,0.340768856922818,23000.0,24250.0,24250.0,24250.0,24250.0,25500.0,2499.9999999999764
