iter	RMSE
0	311299.1082
1	276158.6113
2	245241.771
3	218065.0145
4	194180.4874
5	173213.8829
6	154924.1144
7	138888.6746
8	124966.5851
9	112789.0343
10	102021.0228
11	92798.80419
12	84856.86934
13	78051.47925
14	72210.99553
15	67257.67
16	63000.26473
17	58981.37766
18	55978.69335
19	53334.16589
20	51143.48597
21	49320.91129
22	47676.55584
23	46340.5149
24	44920.72676
25	43824.56047
26	42837.50732
27	42158.23842
28	41582.70718
29	41089.92132
30	40509.22173
31	40108.29173
32	39638.93511
33	39340.71059
34	39077.59341
35	38797.08868
36	38496.99633
37	38334.37522
38	38204.00569
39	38053.40305
40	37935.98911
41	37790.61752
42	37624.44185
43	37409.91467
44	37228.16541
45	37101.42451
46	37011.54794
47	36889.02077
48	36760.57372
49	36620.16791
50	36461.04152
51	36348.15135
52	36229.85997
53	36165.1321
54	36036.5134
55	35887.53909
56	35830.20706
57	35729.93529
58	35614.31392
59	35535.65064
60	35480.25153
61	35388.02247
62	35279.60283
63	35192.02297
64	35116.0434
65	35037.01992
66	34948.68159
67	34906.33356
68	34836.5873
69	34750.26106
70	34671.87954
71	34612.97076
72	34540.24933
73	34483.62816
74	34443.25219
75	34347.94351
76	34276.59551
77	34239.02023
78	34209.89372
79	34146.41811
80	34090.8622
81	34033.70339
82	33959.83408
83	33898.292
84	33850.1034
85	33823.48725
86	33800.5883
87	33719.99291
88	33662.70929
89	33594.46637
90	33531.573
91	33480.58499
92	33411.82176
93	33371.36489
94	33323.76324
95	33263.2444
96	33234.07274
97	33214.15138
98	33168.40804
99	33129.85457
100	33084.33058
101	33054.84761
102	33025.19255
103	32972.20774
104	32933.04501
105	32892.49967
106	32864.85593
107	32822.09806
108	32782.92719
109	32748.55625
110	32718.86113
111	32696.94742
112	32660.99159
113	32636.17731
114	32604.75358
115	32587.87942
116	32569.10841
117	32536.23033
118	32520.18296
119	32487.59536
120	32440.56539
121	32409.56923
122	32387.76003
123	32361.05417
124	32315.39231
125	32292.66812
126	32259.322
127	32217.52273
128	32196.209
129	32171.48877
130	32152.80966
131	32136.52103
132	32104.02935
133	32079.19916
134	32048.21087
135	32029.51905
136	32006.67908
137	31970.7495
138	31948.10662
139	31924.90693
140	31903.30295
141	31884.74119
142	31858.55328
143	31828.71835
144	31793.26939
145	31767.13778
146	31746.6263
147	31720.86015
148	31706.68654
149	31695.03278
150	31665.6085
151	31646.05414
152	31622.65734
153	31590.21748
154	31570.48278
155	31542.16588
156	31530.81916
157	31512.9828
158	31498.7357
159	31476.19549
160	31463.1658
161	31441.32082
162	31414.38868
163	31390.99413
164	31370.39243
165	31348.29304
166	31334.86944
167	31323.35633
168	31312.52025
169	31302.76531
170	31276.31699
171	31265.87974
172	31254.34105
173	31235.85881
174	31217.70318
175	31194.85425
176	31176.97632
177	31164.29924
178	31151.21606
179	31134.80746
180	31113.95625
181	31101.37693
182	31083.56507
183	31056.02196
