[I 2025-01-08 11:16:53,545] Trial 14 finished with value: 29192.844751837085 and parameters: {'iterations': 2984, 'depth': 11, 'learning_rate': 0.131811695839895, 'l2_leaf_reg': 0.09062057394402803, 'bagging_temperature': 0.8024469819471285, 'random_strength': 0.0010127159770659758, 'border_count': 99, 'grow_policy': 'Depthwise', 'min_data_in_leaf': 23, 'one_hot_max_size': 10}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 11:18:34,462] Trial 15 finished with value: 31137.406871952175 and parameters: {'iterations': 579, 'depth': 10, 'learning_rate': 0.059740252644912215, 'l2_leaf_reg': 0.005396488938757214, 'bagging_temperature': 0.2855976087391702, 'random_strength': 0.01885001284620716, 'border_count': 241, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 11, 'one_hot_max_size': 5}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 11:27:59,318] Trial 16 finished with value: 28361.29247655765 and parameters: {'iterations': 2190, 'depth': 7, 'learning_rate': 0.13576045777666457, 'l2_leaf_reg': 0.027421709243151075, 'bagging_temperature': 0.4486380598884435, 'random_strength': 0.15856412747771106, 'border_count': 126, 'grow_policy': 'Depthwise', 'min_data_in_leaf': 30, 'one_hot_max_size': 4}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 11:37:36,775] Trial 17 finished with value: 28866.423763126313 and parameters: {'iterations': 2205, 'depth': 7, 'learning_rate': 0.04918925179615455, 'l2_leaf_reg': 0.009120207211272255, 'bagging_temperature': 0.8540182843411901, 'random_strength': 0.23927145116210644, 'border_count': 129, 'grow_policy': 'Depthwise', 'min_data_in_leaf': 7, 'one_hot_max_size': 4}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 11:43:40,756] Trial 18 finished with value: 29431.67837147503 and parameters: {'iterations': 2697, 'depth': 7, 'learning_rate': 0.12080006387482288, 'l2_leaf_reg': 0.10056619773541799, 'bagging_temperature': 0.5021723506264636, 'random_strength': 0.7968612791713827, 'border_count': 75, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 30, 'one_hot_max_size': 4}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 11:51:26,484] Trial 19 finished with value: 29045.12899267764 and parameters: {'iterations': 2082, 'depth': 6, 'learning_rate': 0.08285674908938559, 'l2_leaf_reg': 0.0011778788484541674, 'bagging_temperature': 0.6407648697531129, 'random_strength': 0.12722190130480535, 'border_count': 188, 'grow_policy': 'Depthwise', 'min_data_in_leaf': 16, 'one_hot_max_size': 2}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 11:57:35,548] Trial 20 finished with value: 28349.452155020794 and parameters: {'iterations': 2313, 'depth': 9, 'learning_rate': 0.1404851411641842, 'l2_leaf_reg': 0.6163136395467858, 'bagging_temperature': 0.8859136985122238, 'random_strength': 0.05531872031720858, 'border_count': 226, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 14, 'one_hot_max_size': 6}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 12:03:37,032] Trial 21 finished with value: 28366.234093087765 and parameters: {'iterations': 2262, 'depth': 9, 'learning_rate': 0.13928728396953957, 'l2_leaf_reg': 1.1790542639165524, 'bagging_temperature': 0.8873612561017297, 'random_strength': 0.0482065080354072, 'border_count': 240, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 14, 'one_hot_max_size': 6}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 12:09:40,840] Trial 22 finished with value: 29619.498386921317 and parameters: {'iterations': 2718, 'depth': 7, 'learning_rate': 0.07300933697367275, 'l2_leaf_reg': 0.3330773090128591, 'bagging_temperature': 0.48943164862276367, 'random_strength': 0.09594851198169004, 'border_count': 206, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 8, 'one_hot_max_size': 6}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 12:16:01,792] Trial 23 finished with value: 28330.46633702936 and parameters: {'iterations': 2373, 'depth': 9, 'learning_rate': 0.14370583950866148, 'l2_leaf_reg': 1.3234242919104695, 'bagging_temperature': 0.7421062024025533, 'random_strength': 0.010093835583786038, 'border_count': 224, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 18, 'one_hot_max_size': 4}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 12:23:22,113] Trial 24 finished with value: 28447.88306209594 and parameters: {'iterations': 2769, 'depth': 9, 'learning_rate': 0.10598965789179293, 'l2_leaf_reg': 2.0714881418596645, 'bagging_temperature': 0.9169049359860709, 'random_strength': 0.009414455790688453, 'border_count': 227, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 18, 'one_hot_max_size': 3}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 12:31:10,187] Trial 25 finished with value: 28069.09586176678 and parameters: {'iterations': 2382, 'depth': 11, 'learning_rate': 0.14918562750097233, 'l2_leaf_reg': 3.0385896292721, 'bagging_temperature': 0.7672497083519554, 'random_strength': 0.0025149388431037352, 'border_count': 226, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 13, 'one_hot_max_size': 5}. Best is trial 2 with value: 28027.538142099846.
