new_date,flat_type,district,range_numeric,floor_area_sqm,lease_commence_date,resale_price
1990-01-01,1 ROOM,North-East,11.0,31.0,1977,9000.0
1990-01-01,1 ROOM,North-East,5.0,31.0,1977,6000.0
1990-01-01,1 ROOM,North-East,11.0,31.0,1977,8000.0
1990-01-01,1 ROOM,North-East,8.0,31.0,1977,6000.0
1990-01-01,1 ROOM,Central,8.0,29.0,1969,7300.0
1990-01-01,1 ROOM,Central,11.0,29.0,1969,7300.0
1990-01-01,1 ROOM,Central,8.0,29.0,1969,9000.0
1990-01-01,1 ROOM,Central,8.0,31.0,1975,9500.0
1990-01-01,1 ROOM,Central,8.0,31.0,1975,7300.0
1990-03-01,1 ROOM,North-East,5.0,31.0,1977,8000.0
1990-03-01,1 ROOM,North-East,2.0,31.0,1977,8000.0
1990-03-01,1 ROOM,Central,2.0,29.0,1969,7300.0
1990-03-01,1 ROOM,Central,2.0,28.0,1969,7300.0
1990-03-01,1 ROOM,Central,2.0,28.0,1969,7300.0
1990-03-01,1 ROOM,Central,8.0,29.0,1969,7300.0
1990-03-01,1 ROOM,Central,8.0,29.0,1969,7500.0
1990-03-01,1 ROOM,Central,8.0,29.0,1969,7300.0
1990-03-01,1 ROOM,Central,2.0,28.0,1969,10000.0
1990-03-01,1 ROOM,Central,11.0,29.0,1969,7500.0
1990-03-01,1 ROOM,Central,5.0,29.0,1969,7300.0
1990-03-01,1 ROOM,Central,2.0,31.0,1975,8000.0
1990-04-01,1 ROOM,North-East,5.0,31.0,1977,7000.0
1990-04-01,1 ROOM,North-East,5.0,31.0,1977,9500.0
1990-04-01,1 ROOM,North-East,2.0,31.0,1977,5600.0
1990-04-01,1 ROOM,Central,8.0,29.0,1969,7300.0
1990-04-01,1 ROOM,Central,11.0,29.0,1969,7000.0
1990-04-01,1 ROOM,Central,2.0,31.0,1975,10200.0
1990-06-01,1 ROOM,North-East,11.0,31.0,1977,7800.0
1990-06-01,1 ROOM,Central,2.0,29.0,1969,10400.0
1990-06-01,1 ROOM,Central,8.0,29.0,1969,7300.0
1990-06-01,1 ROOM,Central,11.0,29.0,1969,6000.0
1990-06-01,1 ROOM,Central,8.0,29.0,1969,9200.0
1990-06-01,1 ROOM,Central,5.0,31.0,1975,10000.0
1990-07-01,1 ROOM,North-East,8.0,31.0,1977,7000.0
1990-07-01,1 ROOM,Central,5.0,29.0,1969,7300.0
1990-07-01,1 ROOM,Central,2.0,29.0,1969,7300.0
1990-07-01,1 ROOM,Central,2.0,31.0,1975,7500.0
1990-07-01,1 ROOM,North-East,8.0,31.0,1977,8000.0
1990-07-01,1 ROOM,North-East,2.0,31.0,1977,9000.0
1990-07-01,1 ROOM,North-East,5.0,31.0,1977,7000.0
1990-07-01,1 ROOM,Central,5.0,29.0,1969,7300.0
1990-07-01,1 ROOM,Central,5.0,29.0,1969,7000.0
1990-07-01,1 ROOM,Central,2.0,29.0,1969,10400.0
1990-07-01,1 ROOM,Central,11.0,29.0,1969,7300.0
1990-07-01,1 ROOM,Central,5.0,29.0,1969,8000.0
1990-07-01,1 ROOM,Central,8.0,29.0,1969,7300.0
1990-07-01,1 ROOM,Central,2.0,31.0,1975,5000.0
1990-09-01,1 ROOM,North-East,8.0,31.0,1977,8500.0
1990-09-01,1 ROOM,North-East,11.0,31.0,1977,9500.0
1990-09-01,1 ROOM,Central,8.0,29.0,1969,7800.0
1990-09-01,1 ROOM,Central,11.0,29.0,1969,7300.0
1990-09-01,1 ROOM,Central,11.0,31.0,1975,10000.0
1990-10-01,1 ROOM,North-East,11.0,31.0,1977,9500.0
1990-10-01,1 ROOM,North-East,8.0,31.0,1977,9500.0
1990-10-01,1 ROOM,Central,8.0,31.0,1975,8500.0
1990-10-01,1 ROOM,North-East,11.0,31.0,1977,5800.0
1990-10-01,1 ROOM,North-East,8.0,31.0,1977,7500.0
1990-10-01,1 ROOM,Central,5.0,29.0,1969,10000.0
1990-10-01,1 ROOM,Central,11.0,29.0,1969,7300.0
1990-10-01,1 ROOM,Central,8.0,31.0,1975,10400.0
1990-12-01,1 ROOM,Central,2.0,29.0,1969,7500.0
1990-12-01,1 ROOM,Central,11.0,29.0,1969,8000.0
1990-12-01,1 ROOM,Central,8.0,29.0,1969,7500.0
1990-12-01,1 ROOM,Central,2.0,29.0,1969,7700.0
1990-12-01,1 ROOM,Central,8.0,29.0,1969,7600.0
1990-12-01,1 ROOM,Central,5.0,29.0,1969,8000.0
1990-12-01,1 ROOM,Central,5.0,31.0,1975,7300.0
1990-12-01,1 ROOM,Central,8.0,31.0,1975,8700.0
1991-01-01,1 ROOM,North-East,8.0,31.0,1977,9300.0
1991-01-01,1 ROOM,North-East,2.0,31.0,1977,6000.0
1991-01-01,1 ROOM,North-East,8.0,31.0,1977,7000.0
1991-01-01,1 ROOM,North-East,8.0,31.0,1977,8000.0
1991-01-01,1 ROOM,Central,2.0,28.0,1969,7500.0
1991-01-01,1 ROOM,Central,8.0,29.0,1969,7300.0
1991-01-01,1 ROOM,North-East,2.0,31.0,1977,6000.0
1991-01-01,1 ROOM,North-East,8.0,31.0,1977,7840.0
1991-01-01,1 ROOM,Central,8.0,29.0,1969,10400.0
1991-03-01,1 ROOM,North-East,2.0,31.0,1977,7000.0
1991-03-01,1 ROOM,North-East,2.0,31.0,1977,8000.0
1991-03-01,1 ROOM,Central,11.0,29.0,1969,7300.0
1991-03-01,1 ROOM,Central,8.0,29.0,1969,8000.0
1991-03-01,1 ROOM,Central,5.0,31.0,1975,10000.0
1991-03-01,1 ROOM,Central,8.0,31.0,1975,8800.0
1991-04-01,1 ROOM,North-East,5.0,31.0,1977,7000.0
1991-04-01,1 ROOM,North-East,8.0,31.0,1977,9600.0
1991-04-01,1 ROOM,Central,8.0,29.0,1969,7300.0
1991-04-01,1 ROOM,Central,11.0,29.0,1969,7300.0
1991-04-01,1 ROOM,North-East,11.0,31.0,1977,7800.0
1991-04-01,1 ROOM,Central,5.0,29.0,1969,8000.0
1991-04-01,1 ROOM,Central,8.0,29.0,1969,10400.0
1991-04-01,1 ROOM,Central,2.0,31.0,1975,7500.0
1991-04-01,1 ROOM,Central,8.0,31.0,1975,10200.0
1991-06-01,1 ROOM,Central,11.0,29.0,1969,10220.0
1991-06-01,1 ROOM,Central,11.0,31.0,1975,9000.0
1991-06-01,1 ROOM,Central,2.0,31.0,1975,7300.0
1991-07-01,1 ROOM,North-East,5.0,31.0,1977,8000.0
1991-07-01,1 ROOM,Central,5.0,29.0,1969,8500.0
1991-07-01,1 ROOM,Central,2.0,29.0,1969,8000.0
1991-07-01,1 ROOM,Central,8.0,31.0,1975,8500.0
1991-07-01,1 ROOM,Central,8.0,29.0,1969,10400.0
1991-07-01,1 ROOM,Central,8.0,29.0,1969,10000.0
1991-09-01,1 ROOM,North-East,2.0,31.0,1977,5700.0
1991-09-01,1 ROOM,North-East,11.0,31.0,1977,7000.0
1991-09-01,1 ROOM,Central,2.0,28.0,1969,10500.0
1991-09-01,1 ROOM,Central,2.0,29.0,1969,7500.0
1991-10-01,1 ROOM,Central,2.0,29.0,1969,8000.0
1991-10-01,1 ROOM,Central,5.0,29.0,1969,10400.0
1991-10-01,1 ROOM,Central,11.0,29.0,1969,10400.0
1991-10-01,1 ROOM,Central,5.0,29.0,1969,10400.0
1991-10-01,1 ROOM,Central,5.0,29.0,1969,10200.0
1991-10-01,1 ROOM,Central,8.0,31.0,1975,10000.0
1991-10-01,1 ROOM,Central,5.0,31.0,1975,7300.0
1991-12-01,1 ROOM,North-East,2.0,31.0,1977,6700.0
1991-12-01,1 ROOM,North-East,11.0,31.0,1977,7000.0
1991-12-01,1 ROOM,Central,2.0,29.0,1969,8900.0
1991-12-01,1 ROOM,Central,8.0,29.0,1969,9500.0
1991-12-01,1 ROOM,Central,8.0,29.0,1969,9500.0
1991-12-01,1 ROOM,Central,8.0,29.0,1969,10220.0
1991-12-01,1 ROOM,Central,2.0,29.0,1969,7300.0
1991-12-01,1 ROOM,Central,2.0,28.0,1969,7300.0
1992-01-01,1 ROOM,North-East,2.0,31.0,1977,8000.0
1992-01-01,1 ROOM,North-East,5.0,31.0,1977,7000.0
1992-01-01,1 ROOM,North-East,2.0,31.0,1977,8000.0
1992-01-01,1 ROOM,Central,2.0,29.0,1969,10400.0
1992-01-01,1 ROOM,Central,11.0,29.0,1969,8000.0
1992-01-01,1 ROOM,North-East,8.0,31.0,1977,7800.0
1992-01-01,1 ROOM,North-East,8.0,31.0,1977,8500.0
1992-01-01,1 ROOM,Central,8.0,29.0,1969,12000.0
1992-01-01,1 ROOM,Central,2.0,28.0,1969,10500.0
1992-01-01,1 ROOM,Central,2.0,29.0,1969,9500.0
1992-01-01,1 ROOM,Central,5.0,31.0,1975,10500.0
1992-01-01,1 ROOM,Central,5.0,31.0,1975,10000.0
1992-01-01,1 ROOM,Central,8.0,31.0,1975,7300.0
1992-01-01,1 ROOM,Central,5.0,31.0,1975,7500.0
1992-03-01,1 ROOM,North-East,2.0,31.0,1977,8000.0
1992-03-01,1 ROOM,Central,5.0,29.0,1969,7500.0
1992-03-01,1 ROOM,Central,8.0,29.0,1969,10000.0
1992-03-01,1 ROOM,Central,5.0,29.0,1969,10400.0
1992-03-01,1 ROOM,Central,8.0,29.0,1969,10000.0
1992-03-01,1 ROOM,Central,5.0,29.0,1969,9500.0
1992-03-01,1 ROOM,Central,5.0,31.0,1975,10000.0
1992-04-01,1 ROOM,North-East,11.0,31.0,1977,7000.0
1992-04-01,1 ROOM,Central,8.0,29.0,1969,11000.0
1992-04-01,1 ROOM,North-East,8.0,31.0,1977,8000.0
1992-06-01,1 ROOM,Central,11.0,29.0,1969,7300.0
1992-06-01,1 ROOM,Central,5.0,29.0,1969,10200.0
1992-06-01,1 ROOM,Central,8.0,29.0,1969,7300.0
1992-07-01,1 ROOM,Central,11.0,29.0,1969,10000.0
1992-07-01,1 ROOM,Central,8.0,29.0,1969,13000.0
1992-07-01,1 ROOM,Central,8.0,29.0,1969,10000.0
1992-07-01,1 ROOM,Central,5.0,31.0,1975,8000.0
1992-07-01,1 ROOM,North-East,5.0,31.0,1977,11000.0
1992-07-01,1 ROOM,Central,5.0,29.0,1969,9000.0
1992-07-01,1 ROOM,Central,2.0,29.0,1969,10000.0
1992-07-01,1 ROOM,Central,2.0,29.0,1969,7300.0
1992-07-01,1 ROOM,Central,2.0,31.0,1975,8000.0
1992-09-01,1 ROOM,North-East,2.0,31.0,1977,9000.0
1992-09-01,1 ROOM,Central,11.0,29.0,1969,10000.0
1992-09-01,1 ROOM,Central,2.0,28.0,1969,8000.0
1992-09-01,1 ROOM,Central,8.0,31.0,1975,7500.0
1992-10-01,1 ROOM,North-East,2.0,31.0,1977,10000.0
1992-10-01,1 ROOM,North-East,8.0,31.0,1977,8000.0
1992-10-01,1 ROOM,Central,5.0,29.0,1969,10000.0
1992-10-01,1 ROOM,Central,2.0,31.0,1975,10000.0
1992-10-01,1 ROOM,North-East,5.0,31.0,1977,20000.0
1992-10-01,1 ROOM,Central,8.0,29.0,1969,11000.0
1992-10-01,1 ROOM,Central,5.0,29.0,1969,10000.0
1992-10-01,1 ROOM,Central,2.0,31.0,1975,10000.0
1992-10-01,1 ROOM,Central,5.0,31.0,1975,7500.0
1992-12-01,1 ROOM,North-East,11.0,31.0,1977,7000.0
1992-12-01,1 ROOM,Central,5.0,29.0,1969,12500.0
1992-12-01,1 ROOM,Central,8.0,29.0,1969,10000.0
1993-01-01,1 ROOM,North-East,8.0,31.0,1977,16000.0
1993-01-01,1 ROOM,Central,5.0,29.0,1969,10200.0
1993-01-01,1 ROOM,Central,2.0,29.0,1969,10000.0
1993-01-01,1 ROOM,Central,11.0,29.0,1969,10000.0
1993-01-01,1 ROOM,Central,2.0,31.0,1975,14600.0
1993-01-01,1 ROOM,Central,2.0,31.0,1975,10000.0
1993-03-01,1 ROOM,North-East,11.0,31.0,1977,8000.0
1993-03-01,1 ROOM,Central,2.0,29.0,1969,12000.0
1993-03-01,1 ROOM,Central,2.0,29.0,1969,10300.0
1993-03-01,1 ROOM,Central,8.0,29.0,1969,10000.0
1993-03-01,1 ROOM,Central,8.0,31.0,1975,10000.0
1993-04-01,1 ROOM,Central,2.0,28.0,1969,7500.0
1993-04-01,1 ROOM,Central,5.0,29.0,1969,14000.0
1993-04-01,1 ROOM,Central,2.0,31.0,1975,8800.0
1993-06-01,1 ROOM,Central,2.0,29.0,1969,11000.0
1993-06-01,1 ROOM,Central,11.0,29.0,1969,8000.0
1993-06-01,1 ROOM,Central,8.0,31.0,1975,16300.0
1993-07-01,1 ROOM,North-East,5.0,31.0,1977,23500.0
1993-07-01,1 ROOM,Central,5.0,29.0,1969,16000.0
1993-07-01,1 ROOM,Central,8.0,29.0,1969,13500.0
1993-07-01,1 ROOM,Central,8.0,31.0,1975,19000.0
1993-07-01,1 ROOM,Central,11.0,31.0,1975,25000.0
1993-09-01,1 ROOM,Central,2.0,29.0,1969,14000.0
1993-09-01,1 ROOM,Central,2.0,29.0,1969,27000.0
1993-10-01,1 ROOM,North-East,2.0,31.0,1977,22000.0
1993-10-01,1 ROOM,Central,11.0,29.0,1969,13000.0
1993-10-01,1 ROOM,Central,8.0,31.0,1975,9000.0
1993-10-01,1 ROOM,Central,11.0,31.0,1975,18500.0
1993-10-01,1 ROOM,North-East,8.0,31.0,1977,35000.0
1993-10-01,1 ROOM,Central,8.0,29.0,1969,22000.0
