year_month,mean,median_price,high_price,low_price,Index,Change,prev_close,rolling_mean
1990-01-01,7711.111111111111,7300.0,9000.0,7300.0,24.3,,,
1990-02-01,7711.111111111111,7300.0,9000.0,7300.0,24.3,,7711.111111111111,
1990-03-01,7733.333333333333,7400.0,8000.0,7300.0,24.3,,7711.111111111111,7333.333333333333
1990-04-01,7766.666666666667,7150.0,8950.0,7000.0,24.3972,0.40%,7733.333333333333,7283.333333333333
1990-05-01,7766.666666666667,7150.0,8950.0,7000.0,24.3972,0.40%,7766.666666666667,7233.333333333333
1990-06-01,8450.0,8500.0,9800.0,7425.0,24.3972,0.40%,7766.666666666667,7600.0
1990-07-01,7528.571428571428,7300.0,7875.0,7075.0,25.00713,2.50%,8450.0,7650.0
1990-08-01,7528.571428571428,7300.0,7875.0,7075.0,25.00713,2.50%,7528.571428571428,7700.0
1990-09-01,8620.0,8500.0,9500.0,7800.0,25.00713,2.50%,7528.571428571428,7700.0
1990-10-01,8562.5,9000.0,9625.0,7450.0,24.70704444,-1.20%,8620.0,8266.666666666666
1990-11-01,8562.5,9000.0,9625.0,7450.0,24.70704444,-1.20%,8562.5,8833.333333333334
1990-12-01,7787.5,7650.0,8000.0,7500.0,24.70704444,-1.20%,8562.5,8550.0
1991-01-01,7704.444444444444,7500.0,8000.0,7000.0,24.9047008,0.80%,7787.5,8050.0
1991-02-01,7704.444444444444,7500.0,8000.0,7000.0,24.9047008,0.80%,7704.444444444444,7550.0
1991-03-01,8183.333333333333,8000.0,8600.0,7475.0,24.9047008,0.80%,7704.444444444444,7666.666666666667
1991-04-01,8344.444444444445,7800.0,9600.0,7300.0,25.50241361,2.40%,8183.333333333333,7766.666666666667
1991-05-01,8344.444444444445,7800.0,9600.0,7300.0,25.50241361,2.40%,8344.444444444445,7866.666666666667
1991-06-01,8840.0,9000.0,9610.0,8150.0,25.50241361,2.40%,8344.444444444445,8200.0
1991-07-01,8900.0,8500.0,9625.0,8125.0,25.19638465,-1.20%,8840.0,8433.333333333334
1991-08-01,8900.0,8500.0,9625.0,8125.0,25.19638465,-1.20%,8900.0,8666.666666666666
1991-09-01,7675.0,7250.0,8250.0,6675.0,25.19638465,-1.20%,8900.0,8083.333333333333
1991-10-01,9528.57142857143,10200.0,10400.0,9000.0,25.09559911,-0.40%,7675.0,8650.0
1991-11-01,9528.57142857143,10200.0,10400.0,9000.0,25.09559911,-0.40%,9528.57142857143,9216.666666666666
1991-12-01,8302.5,8100.0,9500.0,7225.0,25.09559911,-0.40%,9528.57142857143,9500.0
1992-01-01,8928.57142857143,8250.0,10300.0,7850.0,25.79827589,2.80%,8302.5,8850.0
1992-02-01,8928.57142857143,8250.0,10300.0,7850.0,25.79827589,2.80%,8928.57142857143,8200.0
1992-03-01,9342.857142857143,10000.0,10000.0,8750.0,25.79827589,2.80%,8928.57142857143,8833.333333333334
1992-04-01,8666.666666666666,8000.0,9500.0,7500.0,27.39776899,6.20%,9342.857142857143,8750.0
1992-05-01,8666.666666666666,8000.0,9500.0,7500.0,27.39776899,6.20%,8666.666666666666,8666.666666666666
1992-06-01,8266.666666666666,7300.0,8750.0,7300.0,27.39776899,6.20%,8666.666666666666,7766.666666666667
1992-07-01,9588.888888888889,10000.0,10000.0,8000.0,28.00051991,2.20%,8266.666666666666,8433.333333333334
1992-08-01,9588.888888888889,10000.0,10000.0,8000.0,28.00051991,2.20%,9588.888888888889,9100.0
1992-09-01,8625.0,8500.0,9250.0,7875.0,28.00051991,2.20%,9588.888888888889,9500.0
1992-10-01,10722.222222222223,10000.0,10000.0,10000.0,28.58853083,2.10%,8625.0,9500.0
1992-11-01,10722.222222222223,10000.0,10000.0,10000.0,28.58853083,2.10%,10722.222222222223,9500.0
1992-12-01,9833.333333333334,10000.0,11250.0,8500.0,28.58853083,2.10%,10722.222222222223,10000.0
1993-01-01,11800.0,10100.0,13500.0,10000.0,30.18948856,5.60%,9833.333333333334,10033.333333333334
1993-02-01,11800.0,10100.0,13500.0,10000.0,30.18948856,5.60%,11800.0,10066.666666666666
1993-03-01,10060.0,10000.0,10300.0,10000.0,30.18948856,5.60%,11800.0,10066.666666666666
1993-04-01,10100.0,8800.0,11400.0,8150.0,39.5784195,31.10%,10060.0,9633.333333333334
1993-05-01,10100.0,8800.0,11400.0,8150.0,39.5784195,31.10%,10100.0,9200.0
1993-06-01,11766.666666666666,11000.0,13650.0,9500.0,39.5784195,31.10%,10100.0,9533.333333333334
1993-07-01,19400.0,19000.0,23500.0,16000.0,47.69199549,20.50%,11766.666666666666,12933.333333333334
1993-08-01,19400.0,19000.0,23500.0,16000.0,47.69199549,20.50%,19400.0,16333.333333333334
1993-09-01,20500.0,20500.0,23750.0,17250.0,47.69199549,20.50%,19400.0,19500.0
1993-10-01,21800.0,22000.0,24875.0,19375.0,48.97967937,2.70%,20500.0,20500.0
1993-11-01,21800.0,22000.0,24875.0,19375.0,48.97967937,2.70%,21800.0,21500.0
1993-12-01,16833.333333333332,15500.0,20000.0,14000.0,48.97967937,2.70%,21800.0,19833.333333333332
1994-01-01,21900.0,21000.0,24250.0,18000.0,50.40009007,2.90%,16833.333333333332,19500.0
1994-02-01,21900.0,21000.0,24250.0,18000.0,50.40009007,2.90%,21900.0,19166.666666666668
1994-03-01,19533.333333333332,18000.0,23475.0,16750.0,50.40009007,2.90%,21900.0,20000.0
1994-04-01,25200.0,26000.0,26000.0,25000.0,51.71049241,2.60%,19533.333333333332,21666.666666666668
1994-05-01,25200.0,26000.0,26000.0,25000.0,51.71049241,2.60%,25200.0,23333.333333333332
1994-06-01,23150.0,22000.0,26500.0,19250.0,51.71049241,2.60%,25200.0,24666.666666666668
1994-07-01,27795.652173913044,28000.0,31250.0,25000.0,54.60627999,5.60%,23150.0,25333.333333333332
1994-08-01,27795.652173913044,28000.0,31250.0,25000.0,54.60627999,5.60%,27795.652173913044,26000.0
1994-09-01,27125.0,29500.0,32625.0,24000.0,54.60627999,5.60%,27795.652173913044,28500.0
1994-10-01,31900.0,32300.0,33950.0,30250.0,54.82470511,0.40%,27125.0,29933.333333333332
1994-11-01,31900.0,32300.0,33950.0,30250.0,54.82470511,0.40%,31900.0,31366.666666666668
1994-12-01,24200.0,24000.0,25000.0,22000.0,54.82470511,0.40%,31900.0,29533.333333333332
1995-01-01,26807.69230769231,25000.0,28000.0,25000.0,57.34664154,4.60%,24200.0,27100.0
1995-02-01,26807.69230769231,25000.0,28000.0,25000.0,57.34664154,4.60%,26807.69230769231,24666.666666666668
1995-03-01,30916.666666666668,30500.0,32125.0,29250.0,57.34664154,4.60%,26807.69230769231,26833.333333333332
1995-04-01,32166.666666666668,30000.0,36000.0,29500.0,63.94150532,11.50%,30916.666666666668,28500.0
1995-05-01,32166.666666666668,30000.0,36000.0,29500.0,63.94150532,11.50%,32166.666666666668,30166.666666666668
1995-06-01,36333.333333333336,35000.0,38000.0,35000.0,63.94150532,11.50%,32166.666666666668,31666.666666666668
1995-07-01,34050.0,34000.0,35250.0,31000.0,67.71405414,5.90%,36333.333333333336,33000.0
1995-08-01,34050.0,34000.0,35250.0,31000.0,67.71405414,5.90%,34050.0,34333.333333333336
1995-09-01,38187.5,35500.0,43500.0,33500.0,67.71405414,5.90%,34050.0,34500.0
1995-10-01,39571.42857142857,37250.0,45375.0,35000.0,73.74060495,8.90%,38187.5,35583.333333333336
1995-11-01,39571.42857142857,37250.0,45375.0,35000.0,73.74060495,8.90%,39571.42857142857,36666.666666666664
1995-12-01,41923.07692307692,40000.0,48000.0,38000.0,73.74060495,8.90%,39571.42857142857,38166.666666666664
1996-01-01,44429.41176470588,41000.0,48000.0,38000.0,80.52474061,9.20%,41923.07692307692,39416.666666666664
1996-02-01,44429.41176470588,41000.0,48000.0,38000.0,80.52474061,9.20%,44429.41176470588,40666.666666666664
1996-03-01,38062.5,39750.0,41000.0,36000.0,80.52474061,9.20%,44429.41176470588,40583.333333333336
1996-04-01,48020.0,45000.0,53500.0,40150.0,90.91243215,12.90%,38062.5,41916.666666666664
1996-05-01,48020.0,45000.0,53500.0,40150.0,90.91243215,12.90%,48020.0,43250.0
1996-06-01,50090.90909090909,48000.0,54500.0,43500.0,90.91243215,12.90%,48020.0,46000.0
1996-07-01,51550.0,50000.0,57975.0,46625.0,96.45809051,6.10%,50090.90909090909,47666.666666666664
1996-08-01,51550.0,50000.0,57975.0,46625.0,96.45809051,6.10%,51550.0,49333.333333333336
1996-09-01,55000.0,50000.0,51500.0,46250.0,96.45809051,6.10%,51550.0,50000.0
1996-10-01,68500.0,60000.0,65500.0,53750.0,99.06245895,2.70%,55000.0,53333.333333333336
1996-11-01,68500.0,60000.0,65500.0,53750.0,99.06245895,2.70%,68500.0,56666.666666666664
1996-12-01,65250.0,62500.0,65250.0,51750.0,99.06245895,2.70%,68500.0,60833.333333333336
1997-01-01,82250.0,65250.0,117250.0,60250.0,98.66620912,-0.40%,65250.0,62583.333333333336
1997-02-01,82250.0,65250.0,117250.0,60250.0,98.66620912,-0.40%,82250.0,64333.333333333336
1997-03-01,83454.54545454546,68000.0,116500.0,62500.0,98.66620912,-0.40%,82250.0,66166.66666666667
1997-04-01,77345.94594594595,70000.0,75000.0,62500.0,97.58088082,-1.10%,83454.54545454546,67750.0
1997-05-01,77345.94594594595,70000.0,75000.0,62500.0,97.58088082,-1.10%,77345.94594594595,69333.33333333333
1997-06-01,63371.42857142857,63500.0,65500.0,63150.0,97.58088082,-1.10%,77345.94594594595,67833.33333333333
1997-07-01,63500.0,63500.0,66000.0,60000.0,93.67764559,-4.00%,63371.42857142857,65666.66666666667
1997-08-01,63500.0,63500.0,66000.0,60000.0,93.67764559,-4.00%,63500.0,63500.0
