year_month,mean,median_price,high_price,low_price,Index,Change,prev_close,rolling_mean
1990-01-01,133867.91443850266,130000.0,151000.0,110500.0,24.3,,,
1990-02-01,133867.91443850266,130000.0,151000.0,110500.0,24.3,,133867.91443850266,
1990-03-01,131307.8151260504,128000.0,145000.0,110000.0,24.3,,133867.91443850266,129333.33333333333
1990-04-01,127134.92808219178,127000.0,144625.0,110000.0,24.3972,0.40%,131307.8151260504,128333.33333333333
1990-05-01,127134.92808219178,127000.0,144625.0,110000.0,24.3972,0.40%,127134.92808219178,127333.33333333333
1990-06-01,135086.35955056178,139000.0,151000.0,110000.0,24.3972,0.40%,127134.92808219178,131000.0
1990-07-01,135948.74576271186,136000.0,155000.0,110000.0,25.00713,2.50%,135086.35955056178,134000.0
1990-08-01,135948.74576271186,136000.0,155000.0,110000.0,25.00713,2.50%,135948.74576271186,137000.0
1990-09-01,137821.0606060606,139500.0,160000.0,110000.0,25.00713,2.50%,135948.74576271186,137166.66666666666
1990-10-01,132945.6652360515,130000.0,154000.0,110000.0,24.70704444,-1.20%,137821.0606060606,135166.66666666666
1990-11-01,132945.6652360515,130000.0,154000.0,110000.0,24.70704444,-1.20%,132945.6652360515,133166.66666666666
1990-12-01,132121.72185430463,127000.0,150000.0,116000.0,24.70704444,-1.20%,132945.6652360515,129000.0
1991-01-01,131184.86666666667,128500.0,148000.0,110000.0,24.9047008,0.80%,132121.72185430463,128500.0
1991-02-01,131184.86666666667,128500.0,148000.0,110000.0,24.9047008,0.80%,131184.86666666667,128000.0
1991-03-01,134866.31578947368,130000.0,158500.0,114000.0,24.9047008,0.80%,131184.86666666667,129000.0
1991-04-01,134220.59139784946,127000.0,158750.0,110000.0,25.50241361,2.40%,134866.31578947368,128500.0
1991-05-01,134220.59139784946,127000.0,158750.0,110000.0,25.50241361,2.40%,134220.59139784946,128000.0
1991-06-01,135277.4814814815,135000.0,156500.0,110000.0,25.50241361,2.40%,134220.59139784946,129666.66666666667
1991-07-01,138047.491638796,136000.0,158700.0,115000.0,25.19638465,-1.20%,135277.4814814815,132666.66666666666
1991-08-01,138047.491638796,136000.0,158700.0,115000.0,25.19638465,-1.20%,138047.491638796,135666.66666666666
1991-09-01,138729.39024390245,138940.0,163000.0,110000.0,25.19638465,-1.20%,138047.491638796,136980.0
