iter	RMSE
0	311358.5083
1	276215.8971
2	245290.4295
3	218095.7566
4	194257.3427
5	173285.2145
6	154971.1527
7	138916.1842
8	124815.4884
9	112567.1485
10	101981.9746
11	92779.71373
12	84863.11746
13	77808.43603
14	71955.92195
15	66965.59017
16	62582.03295
17	59017.88185
18	55945.00046
19	53101.08867
20	50985.4819
21	48970.40157
22	47246.58281
23	45920.4359
24	44570.39038
25	43449.84154
26	42708.30842
27	42039.87196
28	41421.98411
29	40942.58503
30	40417.70042
31	40005.34282
32	39660.31319
33	39380.29178
34	39055.71861
35	38776.33628
36	38407.12334
37	38245.71056
38	38015.10781
39	37820.05059
40	37678.95384
41	37549.65448
42	37388.59446
43	37271.52728
44	37103.6898
45	36979.99933
46	36872.84053
47	36693.07351
48	36612.00007
49	36553.1624
50	36436.45585
51	36273.65344
52	36115.41554
53	36043.67905
54	35976.8534
55	35798.8802
56	35671.79288
57	35544.31789
58	35469.2367
59	35387.59035
60	35277.18636
61	35171.5318
62	35093.51852
63	35042.95859
64	34953.81591
65	34845.52766
66	34783.54798
67	34734.03808
68	34642.96203
69	34583.09053
70	34511.80625
71	34475.07506
72	34414.61109
73	34304.69278
74	34242.59282
75	34170.54864
76	34117.51852
77	34052.97628
78	33996.62396
79	33949.73907
80	33911.70595
81	33844.07631
82	33790.41995
83	33739.67657
84	33678.61477
85	33639.81493
86	33609.30999
87	33560.32768
88	33517.85562
89	33479.78301
90	33419.4871
91	33380.81315
92	33317.23993
93	33260.56794
94	33225.24902
95	33202.27201
96	33172.9828
97	33146.02865
98	33104.64187
99	33060.98357
100	33015.89891
101	32987.21245
102	32964.88166
103	32940.37219
104	32911.07938
105	32883.50352
106	32844.90852
107	32819.59858
108	32772.66074
109	32759.65879
110	32732.84275
111	32703.42666
112	32660.82129
113	32632.08983
114	32591.76486
115	32565.69807
116	32537.59766
117	32506.83941
118	32485.48071
119	32463.72375
120	32445.75709
121	32425.63931
122	32404.74142
123	32387.23764
124	32375.68543
125	32344.01857
